MatrixSize,NumProcesses,TimeTaken
100,1,0.000088
100,2,0.000175
100,4,0.006412
100,5,0.004438
100,10,0.003825
500,1,0.001607
500,2,0.001772
500,4,0.001279
500,5,0.003107
500,10,0.001164
1000,1,0.005593
1000,2,0.003532
1000,4,0.002215
1000,5,0.003121
1000,10,0.003464
2000,1,0.019082
2000,2,0.012844
2000,4,0.010309
2000,5,0.016942
2000,10,0.028857
