Steps,Threads,Time(s),ApproxPi
1000000,1,0.004000,3.141592653589764
1000000,2,0.004000,3.141592653589899
1000000,4,0.002000,3.141592653589875
1000000,8,0.003000,3.141592653589871
10000000,1,0.026000,3.141592653589731
10000000,2,0.015000,3.141592653589923
10000000,4,0.012000,3.141592653589670
10000000,8,0.007000,3.141592653589803
50000000,1,0.139000,3.141592653589562
50000000,2,0.068000,3.141592653590031
50000000,4,0.045000,3.141592653589738
50000000,8,0.025000,3.141592653589790
