MatrixSize,NumProcesses,TimeTaken
100,1,0.000755
100,2,0.001109
100,4,0.000594
100,5,0.001083
100,10,0.014196
500,1,0.026622
500,2,0.013072
500,4,0.018560
500,5,0.023394
500,10,0.050225
1000,1,0.049437
1000,2,0.044286
1000,4,0.042548
1000,5,0.047868
1000,10,0.071579
2000,1,0.189003
2000,2,0.176839
2000,4,0.174962
2000,5,0.203252
2000,10,0.272020
