Chunk_Size,Threads,Time(s)
1,1,0.034000
1,2,0.057000
1,4,0.040000
1,8,0.039000
5,1,0.007000
5,2,0.011000
5,4,0.010000
5,8,0.009000
10,1,0.005000
10,2,0.006000
10,4,0.005000
10,8,0.006000
20,1,0.003000
20,2,0.004000
20,4,0.004000
20,8,0.003000
50,1,0.002000
50,2,0.002000
50,4,0.003000
50,8,0.002000
